12f7 -- 9. Kaikki tietoryhmät;;;;;;;
;;;;;;;
Postinumeroalue;Postinumeroalueen pinta-ala;Asukkaat yhteensä, 2018 (HE);Asukkaiden keskitulot, 2017 (HR);Asukkaiden mediaanitulot, 2017 (HR);Asumisväljyys, 2018 (TE);Taloudet yhteensä, 2017 (TR);Työttömät, 2017 (PT)
00100  Helsinki Keskusta - Etu-Töölö (Helsinki);2353278;18427;42196;27577;38.7;10205;702
00120  Punavuori (Helsinki);414010;7161;41657;27523;39.5;3933;273
00130  Kaartinkaupunki (Helsinki);428960;1523;57766;30479;43.0;818;41
00140  Kaivopuisto - Ullanlinna (Helsinki);931841;7921;53555;29439;41.3;4404;261
00150  Eira - Hernesaari (Helsinki);1367328;9385;41564;26546;34.3;5759;438
00160  Katajanokka (Helsinki);541136;4577;41855;28098;40.2;2304;143
00170  Kruununhaka (Helsinki);713343;7495;37435;28489;38.0;4036;270
00180  Kamppi - Ruoholahti (Helsinki);1735293;14020;31986;26037;33.6;7666;645
00190  Suomenlinna (Helsinki);765012;707;27710;25728;30.9;308;36
00200  Lauttasaari (Helsinki);2619434;15817;34141;27378;33.6;8688;586
00210  Vattuniemi (Helsinki);1478221;8509;39850;30678;36.8;4397;245
00220  Jätkäsaari (Helsinki);684781;6901;27181;23589;29.6;3185;195
00230  Ilmala (Helsinki);171851;0;0;0;0.0;0;0
00240  Länsi-Pasila (Helsinki);2248864;5563;25382;23045;33.5;2782;280
00250  Taka-Töölö (Helsinki);3065419;11359;30448;25958;33.4;6796;457
00260  Keski-Töölö (Helsinki);751805;5480;36039;27031;38.8;3148;190
00270  Pohjois-Meilahti (Helsinki);864732;7775;28463;24383;31.6;4491;404
00280  Ruskeasuo (Helsinki);822672;2990;27141;23438;31.7;1610;110
00290  Meilahden sairaala-alue (Helsinki);268739;148;39325;29092;41.9;92;5
00300  Pikku Huopalahti (Helsinki);851105;5799;26617;24187;32.2;2891;317
00310  Kivihaka (Helsinki);621966;913;26818;24419;32.6;567;48
00320  Etelä-Haaga (Helsinki);1942280;10199;26814;24401;31.6;6322;475
00330  Munkkiniemi (Helsinki);1726680;8818;41423;27900;38.9;4783;295
00340  Kuusisaari-Lehtisaari (Helsinki);1008214;1767;81403;33289;53.0;740;50
00350  Munkkivuori-Niemenmäki (Helsinki);2211028;9280;26989;24178;31.9;5365;444
00360  Pajamäki (Helsinki);539398;1868;25205;23575;30.8;1119;118
00370  Reimarla (Helsinki);3126200;6544;25902;23334;33.2;3173;349
00380  Pitäjänmäen teollisuusalue (Helsinki);1261325;4547;26083;24049;32.1;2446;311
00390  Konala (Helsinki);3232854;6510;26015;24086;33.4;3294;374
00400  Pohjois-Haaga (Helsinki);1764452;9621;22891;21471;30.6;5504;539
00410  Malminkartano (Helsinki);1941784;9037;21686;20863;31.1;4120;523
00420  Kannelmäki (Helsinki);2937878;13691;22222;20687;32.7;7523;913
00430  Maununneva (Helsinki);4772714;5834;31357;26859;35.7;2231;190
00440  Lassila (Helsinki);950305;4797;24357;22067;33.3;2572;243
00500  Sörnäinen (Helsinki);585917;12436;23964;22007;28.7;8986;955
00510  Etu-Vallila - Alppila (Helsinki);1062161;9783;25125;22916;29.1;6524;687
00520  Itä-Pasila (Helsinki);1567139;7276;24472;22305;31.0;4003;425
00530  Kallio (Helsinki);1588140;18644;26465;22939;30.9;12296;1174
00540  Kalasatama (Helsinki);683207;2910;31697;26249;32.0;1266;72
00550  Vallila (Helsinki);946646;9189;22851;21339;29.7;5768;605
00560  Toukola-Vanhakaupunki (Helsinki);3878502;13807;27964;24927;31.2;6756;523
00570  Kulosaari (Helsinki);1796540;4004;44426;28005;42.2;1928;143
00580  Verkkosaari (Helsinki);1310059;2945;25815;23957;31.5;1523;92
00590  Kaitalahti (Helsinki);1821381;1956;33021;27865;34.4;435;39
00600  Koskela-Helsinki (Helsinki);949209;4153;22409;18699;33.1;1985;227
00610  Käpylä (Helsinki);2015365;8166;26870;24268;30.7;4340;436
00620  Metsälä-Etelä-Oulunkylä (Helsinki);2244049;3285;29027;24966;40.0;1546;106
00630  Maunula-Suursuo (Helsinki);2513374;8309;24245;21578;33.9;4685;557
00640  Oulunkylä-Patola (Helsinki);2259873;8185;27176;24082;35.7;4268;338
00650  Veräjämäki (Helsinki);1631932;4276;29054;25005;35.8;1997;210
00660  Länsi-Pakila (Helsinki);2559655;6646;37003;30035;40.3;2629;186
00670  Paloheinä (Helsinki);3040959;5989;38281;32095;38.4;2250;152
00680  Itä-Pakila (Helsinki);2164288;3663;33993;29228;39.7;1416;134
00690  Tuomarinkylä-Torpparinmäki (Helsinki);4714016;2773;30086;27220;36.5;1076;95
00700  Malmi (Helsinki);6435483;13359;22926;21449;33.5;7012;961
00710  Pihlajamäki (Helsinki);2823097;12691;22606;21377;33.7;6853;907
00720  Pukinmäki-Savela (Helsinki);2088327;8770;22980;21751;33.4;4537;505
00730  Tapanila (Helsinki);3623273;11270;28008;25683;34.9;5141;539
00740  Siltamäki (Helsinki);3565185;10494;25173;23060;34.8;4535;440
00750  Puistola (Helsinki);3031850;9630;26718;22679;33.6;4450;617
00760  Suurmetsä (Helsinki);3363242;7644;29450;27107;36.0;3044;268
00770  Jakomäki - Alppikylä (Helsinki);3546000;7506;20854;20194;32.6;3640;576
00780  Tapaninvainio (Helsinki);2282750;6963;29175;25574;38.0;3195;295
00790  Viikki (Helsinki);3725157;11114;24197;23201;29.6;5095;467
00800  Länsi-Herttoniemi (Helsinki);3052566;7319;25052;22255;33.0;4158;497
00810  Herttoniemi (Helsinki);2268313;11631;26697;24307;33.0;5985;798
00820  Roihuvuori (Helsinki);1295254;7389;22494;21175;31.0;4115;593
00830  Tammisalo (Helsinki);1599520;2255;59543;32597;45.8;912;54
00840  Laajasalo (Helsinki);3013995;8233;29742;25360;38.6;4210;330
00850  Jollas (Helsinki);4156916;3148;46915;30567;39.6;1189;121
00860  Santahamina (Helsinki);6393082;387;28231;28340;26.3;154;7
00870  Etelä-Laajasalo (Helsinki);1407889;6233;24761;22176;34.5;3163;399
